,month_no,user
216,6,Vickie Echeverria
217,6,Amanda Swan
218,5,Harold Poole
219,11,Claire Hill
220,1,Peggie Phelps
221,4,Ezra Patella
222,11,Juan Johnson
223,3,Sadie Sandoval
224,7,Jonathan Dew
225,11,Domingo Swanson
226,2,Mary Brown
227,10,Sarah Treston
228,9,Peggy Branch
229,10,Clyde Lopez
230,4,Dorthy Alexander
231,8,Don Garafalo
232,11,Leslie Randle
233,12,Stella Mailman
234,3,Paul Herzog
235,10,Raquel Tafolla
236,7,Janice Zabinski
237,7,Christopher Hopkins
238,4,John Zarate
239,4,Rick Kisner
240,6,James Anderson
241,10,Gregory Hannah
242,4,Thao Ramos
243,4,Michael Street
244,6,Carl Biller
245,3,Rebecca Howard
246,3,Louise Lawson
247,12,Aura Parton
248,4,Bertha Ramsey
249,6,Aaron Martinez
250,11,Ellen Montgomery
251,1,David James
252,3,Jose Hutchison
253,9,Margaret Baranowski
254,7,Marlene Presley
255,4,Robert Taylor
256,4,Ruth Hernandez
257,9,Effie Riekena
258,3,Marie Lande
259,9,Kathy Garcia
260,7,Erica Finkel
261,8,Jonathan Matthews
262,2,Natalie Gream
263,12,Dawn Hamilton
264,9,Kristin West
265,3,Marsha Valencia
266,7,Daniel Hopps
267,1,Bradley Fleischman
268,4,Lisa Smith
269,2,Paul Wright
270,8,Shirley King
271,11,Elaine Crager
272,2,Thomas Green
273,6,Jasmine Bishop
274,3,Brianne Drage
275,11,Michael Cooper
276,10,Herbert James
277,7,Rachael Swanson
278,3,Donna Lee
279,12,Jose Tucker
280,4,Mai Martinez
281,7,Donovan Rodriguez
282,10,John Labarre
283,8,Gloria Bryant
284,5,Wayne Spencer
285,6,Mitchell Eaton
286,4,Thomas Cocklin
287,5,David Noel
288,4,Charla Williams
289,7,Steven Frizell
290,5,Raymond Gant
291,9,Nancy Mceachern
292,5,Samuel Storey
293,7,Ann Robinson
294,8,Roderick Mccracken
295,3,Lue Waller
296,9,Julia Avila
297,5,Nina Laws
298,8,Jenny Bohlke
299,8,Joseph Parker
300,7,Louis Mccaskin
301,4,Jacob Conard
302,6,Tyson Faust
303,9,Nicole Sanders
304,12,Elizabeth Perry
305,1,Ruby Conley
306,5,Monica Abad
307,1,Myrtle Stephens
308,11,Brian Ogle
309,11,Joe Large
310,10,William Albrecht
311,8,Heather Stegall
312,3,Debi Blue
313,3,Michael Parenti
314,3,William Mejia
315,6,Carol Bolton
316,5,Wade Houston
317,11,Julia Lizarraga
318,7,Steven Miyamoto
319,5,Greg Terry
320,11,Dorothy Asher
321,7,Cassandra Reardon
322,12,Michelle Johnston
323,5,Charles Baker
324,6,Rebecca Heard
325,4,Michel Valentine
326,2,Terry Parsons
327,7,Jim Buhl
328,5,Addie Bullock
329,9,Akiko Signs
330,1,William Mclean
331,9,Terrance Dunn
332,12,Thaddeus Miller
333,3,Michael Tapia
334,11,Cynthia Mcvey
335,3,Stephen Mcgill
336,11,Dwight Carey
337,4,David Moran
338,12,Edward Getz
339,3,David Jones
340,11,Sheryl Theisen
341,10,Mary Vaughan
342,7,Edward Quinn
343,2,Michael Flowers
344,10,Elvin Ake
345,2,Sandra Showman
346,3,Donna Case
347,10,Teresa Maring
348,1,Timothy Scowden
349,9,John Baez
350,3,David Esters
351,4,Mason Giebler
352,3,Synthia Sumpter
353,8,Dallas Hill
354,9,Bret Orozco
355,8,Ryan Williams
356,11,Barbara Avila
357,10,John Clifton
358,12,Tracy Lyon
359,2,William Campbell
360,3,Brittani Johnson
361,12,Peggy Smith
362,4,Mary Vanpelt
363,8,Kathryn Smith
364,6,Mary Belcher
365,8,Arturo Buck
366,8,Jack Archer
367,4,Aida Marinaccio
368,4,Angela Perry
369,5,Ada Pickett
370,7,Marie Lantrip
371,5,Jenny Coleman
372,8,Dave Crowe
373,11,Donald Hardy
374,10,Daryl Carey
375,3,Kelly Westlund
376,5,Juan Horne
377,11,Velma Ryan
378,6,Fredrick Richard
379,2,Jeff Hamill
380,7,Karen Morton
381,6,Ellen Newlin
382,7,James Cromwell
383,8,Loretta Clarke
384,10,Michael Cohen
385,2,Michelle Vega
386,5,Andy Mummert
387,12,Dennis Rodriguez
388,9,Karen Bellman
389,11,Jessica Percy
390,11,Jaime Goebel
391,10,George Shay
392,4,Alexis Cooper
393,5,Carol Steppig
394,7,Andrea Turner
395,7,Sherri Robbins
396,4,Casey Williams
397,9,James Vang
398,10,George Guetierrez
399,9,Jacquelyn Purnell
400,5,Lynn Nunley
401,2,Edith Williams
402,11,Ann Tannenbaum
403,5,Carla Fouse
404,7,Stella Vaughan
405,7,Leonore Quezada
406,2,Max Lim
407,8,Paul Brown
408,11,Michael Felix
409,9,John Shilkuski
410,3,Roger Lewis
411,12,Joseph Pease
412,12,Francesca Atkinson
413,10,Jason Mayes
414,6,Charles Sullivan
415,8,Stacy Delima
416,6,Paula Mata
417,8,Doris Martinez
418,7,Mark Hall
419,8,Mary Fitch
420,6,Eric Baisden
421,11,Darla Wilson
422,6,Darlene Hunter
423,3,Pam Vega
424,12,Steven Stepler
425,1,Glenn Kuhl
426,6,Carol Mitchell
427,6,Janelle Neeley
428,12,Edward Coleman
429,1,Lyle Members
430,10,Ruby Endicott
431,2,Vicki Blankenship
432,3,Sally Hamilton
433,6,Arthur Simmons
434,10,Mary Keller
435,10,Megan Mcalister
436,5,Raymond Sjogren
437,2,David Trinidad
438,9,Robert Pope
439,11,Deborah Overstreet
440,7,James Brown
441,12,Ruth Lerma
442,12,Arline Miller
443,3,Simona Richardson
444,9,Daniel Craft
445,3,Michael Alamo
446,1,Robin Hawes
447,7,Barbara Blasengame
448,7,William Parker
449,2,David Tagg
450,8,Corey Silvers
451,10,Linda Mcmahan
452,1,Mark Barnhart
453,9,Billy Buzis
454,5,Julian Vigil
455,10,Dennis Armijo
456,9,Anton Kehres
457,9,Timothy Green
458,11,Aaron Conner
459,7,Francis Lim
460,10,Margaret Anding
461,8,Leigh Green
462,1,Kirsten Casillas
463,10,Lee Mathews
464,4,Lisa Bruno
465,4,Julio Yung
466,3,Joyce Engstrom
467,11,Anthony Biddle
468,4,Brett Malec
469,10,Lucille Scott
470,2,Deanne Melin
471,7,William Bara
472,2,Ralph Williamson
473,6,Gene Rosenberg
474,7,George Hill
475,12,William Barrett
476,4,Otis Martins
477,9,Marvin Mahraun
478,5,Thomas Ware
479,11,James Johnson
480,3,Ruth Tucker
481,5,Anthony Snyder
482,6,Richard Farrell
483,1,Jacqueline Vanacore
484,6,Allena Christopher
485,6,Forrest Hernandez
486,8,John Tucker
487,10,Suzanne Freeman
488,3,Zachary Peno
489,4,Martin Mohorovich
490,3,Matthew Lymon
491,9,Doug Quintero
492,7,Carol Weaver
493,5,Helen Grooms
494,3,Jayson Fabela
495,12,Michael Borek
496,12,Renay Odoms
497,5,William Farmer
498,2,Tommie Mclaughlin
499,8,Crystal Aguayo
500,3,Cynthia Snowden
501,7,Joseph Beardsley
502,1,Nancy Brawley
503,8,Bessie Gonzales
504,8,Frank Lira
505,9,Vincent Costa
506,9,Patricia Powell
507,1,Odell Graham
508,12,Michael Dean
509,3,George Valen
510,10,Roy Liddy
511,3,Hannah Kenkel
512,10,Stacie Pollard
513,8,Robert Spencer
514,9,Manuel Oelze
515,2,Efren Desler
516,10,Dorian Johnson
517,2,Jose Hattley
518,12,Steven Totten
519,6,Troy Patterson
520,2,Latoya Smith
521,6,Larry Jensen
522,4,Dwight Engle
523,9,Vanessa Landey
524,8,Latisha Bianchi
525,5,Bobby Caccamise
526,6,James Davis
527,5,Florence Toledo
528,6,Chelsea Silverman
529,12,Marco Gilstrap
530,8,Brett Maker
531,6,Pamela Ray
532,7,Lenny Crutchfield
533,2,Nancy Honeycutt
534,1,Randy Mcentee
535,10,Sheila Collins
536,12,Larry Attridge
537,4,Malia Sanders
538,5,Ronnie Ruiz
539,4,Helga Kittelson
540,2,Randy Philson
541,5,Edward Velasquez
542,1,Ian Roberts
543,6,Ashli Hackathorn
544,7,Sheila Sunderland
545,6,Linda Wright
546,6,Shirley Jones
547,10,Marna Payne
548,3,Walker Close
549,7,Theresa Fowler
550,7,Mark Parker
551,5,Cary Dean
552,9,Virginia Powell
553,2,Kathryn Kluz
554,9,Marvin Acuff
555,4,Eugene Lee
556,2,Joe Hunter
557,8,Paul Rivera
558,12,Kimberly Dickey
559,10,Carol Tolle
560,5,Tyrone Barney
561,12,Hung Patterson
562,1,Frank Paik
563,7,Carole Martin
564,7,Susan Saenz
565,6,Robert Oconnell
566,10,William Potter
567,10,Robert Scott
568,9,Roland Prince
569,8,Melissa Cox
570,3,Alan Story
571,2,Christopher Hernandez
572,6,Esther Mavins
573,2,Samuel Greer
574,4,Karen Belkowski
575,1,William Gross
576,2,Peter Laidlaw
577,6,George King
578,1,Jodee Mckeown
579,5,Mary Willimas
580,11,Douglas Thomas
581,12,Evan Garlock
582,5,Lois Baker
583,7,Amanda Uselman
584,10,Robert Noble
585,6,Deborah Plante
586,10,Robert Pilkington
587,5,Paul Harville
588,4,Elizabeth Klatt
589,3,Mandy Flores
590,9,Leslie Mosely
591,9,Jeffrey Williams
592,8,Christine Mauk
593,10,Barbara Rebick
594,12,Robert Rovero
595,12,Craig Simmons
596,10,Terrence Sheikh
597,2,Gwendolyn Bowling
598,8,Rene Lewis
599,11,Terry Macpartland
600,10,Florence Jefferies
601,7,Bonita Scott
602,7,Claudia Mcbryde
603,4,Gerald Carone
604,2,Elizabeth Dell
605,12,Janis Scanlon
606,1,Tim Meeks
607,10,Yvonne Miller
608,8,Norman Owings
609,1,Elizabeth Cordoua
610,4,Evelyn Sexton
611,9,Lisette Foster
612,5,Debra Rodriguez
613,5,Edward Mitani
614,4,Joseph Venezia
615,9,Christopher Claypoole
616,1,Florence Newborn
617,6,Chery Laino
618,8,Jonathan Roberson
619,11,Joanne Gonzalez
620,2,Martha Mcallister
621,3,Jill Jessica
622,9,Minnie Traxler
623,11,James Mclain
624,2,Nathan Jones
625,6,Bonnie Miles
626,11,Margaret Drury
627,1,Christina Dobbs
628,2,Nancy Ennis
629,10,Anthony Russell
630,6,Vanessa Grant
631,1,Mary Joyal
632,3,Jimmy Runion
633,5,Wanda Clemens
634,1,Rose Pfaff
635,6,Thomas Williams
636,2,Justin Beekman
637,5,Randy Horne
638,1,Melissa Ward
639,7,John Johnson
640,12,Aron Medley
641,8,Rebecca Lighthill
642,2,Paul Boyd
643,8,Sidney Cervantes
644,3,Amy Edmondson
645,9,Joann Rapkin
646,12,Amy Nelson
647,1,Ronnie Behanna
648,10,Judith Edwards
649,6,Carl Evans
650,2,Ashley Oldaker
651,7,Denise Dixon
652,7,Edward Gay
653,8,Jaclyn Russell
654,2,Jimmy Chan
655,7,Michael Sloan
656,7,Janette Smith
657,7,Connie Ballard
658,1,Sam Heslop
659,8,Brian Youngs
660,2,Alice Taegel
661,5,Barbara Motley
662,5,Luis Horton
663,11,Ralph Leblanc
664,1,William Morgan
665,10,Casey Corbin
666,5,Ruth Osterhout
667,8,Linda Hemmings
668,2,Cathy Boyle
669,9,Cynthia Holst
670,7,Ramona Wilson
671,8,Ernest Atkinson
672,7,Alice Riley
673,6,John Goebel
674,6,Jose Trevathan
675,8,Earl Hamilton
676,1,Lea Stone
677,11,Robert Ross
678,3,Travis Siebert
679,7,Carol Brooks
680,8,Marlene Mortimer
681,7,Don Robinson
682,11,Charles Polito
683,12,Martha Drake
684,6,Rick Gutierrez
685,3,Doug Simon
686,8,Dolores Milam
687,6,Steven Killeagle
688,7,Bill Pruett
689,9,Ronald Sansotta
690,2,Richard Rimple
691,7,Karen Hinton
692,4,William Craven
693,9,John Hernandez
694,1,William Rosenthal
695,2,Richard Potter
696,8,Juanita Arender
697,9,Mary Causey
698,10,Lauren Nelson
699,12,Michael Camacho
700,11,Sharon Todd
701,11,Christy Chao
702,5,Sonya Bryant
703,10,Alice Bennett
704,8,Raymond Granger
705,10,Alyce Williams
706,3,Jennifer Williams
707,2,Patricia Robinson
708,9,Alexander Watson
709,2,Joan Hall
710,12,Julie Decoteau
711,2,Stephen Eskola
712,2,Patricia Lucas
713,5,Bryan Norton
714,7,Robert Beach
715,6,Margie Rivers
716,11,Erica Orr
717,9,Kerry Capossela
718,9,Frederick Kaufman
719,2,Paul Ehmann
720,2,Joseph Fritcher
721,12,Brenda Martinez
722,9,Pamela Beiler
723,11,Debbie Emmons
724,1,David Musetti
725,4,Rachel Gaucin
726,8,Robert Pemberton
727,11,Harold Rotella
728,2,Judy Friend
729,8,Dennis Catalan
730,2,Tyrone Briseno
731,11,Anthony Sherman
732,10,Leonard Maine
733,2,Nelson Vargas
734,9,Nancy Smith
735,11,Cynthia Abel
736,10,Bobby Oates
737,8,Javier Mallard
738,10,Karen Lanier
739,8,Margie Burns
740,6,Irving Barnes
741,3,Douglas Flowers
742,10,Stacy Nelson
743,10,Maria Lesky
744,3,Dale Lacayo
745,6,Jack Lowry
746,5,Jerry Casillas
747,9,Donald Sullivan
748,7,Robert Dill
749,3,Willie Fowler
750,4,Kathleen Perkins
751,5,Steven Overton
752,10,Rosie Carrillo
753,5,Louis Martel
754,6,Shawna Busher
755,10,Nancy Turek
756,10,Marvin Hodosy
757,3,James Karol
758,4,Michael Levine
759,2,Javier Herron
760,2,Brooke Hopson
761,4,Michael Juel
762,12,Lawrence Mannon
763,12,Kyle Lebrun
764,9,Marion Skutt
765,11,Mary Irland
766,11,Clinton Caldwell
767,9,Janette Pieper
768,6,Florence Obrien
769,11,Margaret Zima
770,7,Karen Nelson
771,11,Jeffrey Wright
772,10,Romeo Allen
773,11,Simonne Adams
774,10,Ray Hinojosa
775,11,Lucille Ferris
776,6,Michael Gonzalez
777,11,April Waltz
778,4,Jamie Gonzalez
779,3,Michael Bradley
780,8,Gregory Mata
781,7,Jack Hill
782,10,Michael Sollenberger
783,4,Holly Wapp
784,9,Diane Welch
785,5,Wayne Hawes
786,1,Barbara York
787,6,Elizabeth Christensen
788,7,Betty Hanlon
789,7,Kara Maxwell
790,7,Ruben Underwood
791,6,Allen Lucas
792,8,Pauline Wiley
793,4,Maren Ave
794,3,Shannon Louis
795,12,Barbie Hall
796,11,Ileana Williams
797,4,Delila Pompi
798,12,Beryl Battey
799,11,David Todd
800,4,Amanda Trasher
801,11,William Scott
802,3,Richard Kerfoot
803,5,Evangeline Cope
804,10,Rick Santana
805,10,Joyce Argueta
806,10,William Alexander
807,2,Abraham Mejias
808,8,Hae Erwin
809,11,Thomas Smith
810,3,Harold Thomas
811,2,William Obrien
812,8,Andrea Oberle
813,5,Ann Ferguson
814,7,Todd Davidson
815,10,Gabriel Jordan
816,2,Catherine Workman
817,12,Mary Hernandez
818,8,Theresa Scott
819,6,Bonnie Richardson
820,4,Debbie Lane
821,8,Casey Malone
822,9,Tanya Watkins
823,11,Richard Corbett
824,10,Richard Philbert
825,12,Amelia Speer
826,2,Jimmy Willis
827,10,Darrell Good
828,7,Mary Deboer
829,5,Andrew Minich
830,9,Lauren Kelley
831,10,Christian Davis
832,7,Mary Clark
833,4,Brian Landry
834,6,Carl Pullen
835,7,Nancy Ardrey
836,8,Matthew Rutherford
837,1,Nicholas Wicker
838,7,Vera Lindsey
839,6,Val Duncan
840,2,Charleen Fuller
841,1,Jamie Morgan
842,6,Shirley Takaki
843,12,Mary Blakeslee
844,8,Rosa Erickson
845,3,Nathan Haitz
846,8,Patricia White
847,4,Richard Lagnese
848,9,Eunice Garcia
849,8,Adam Hardiman
850,12,Lenora Beck
851,4,Nelson Garcia
852,10,Nikki Kochan
853,3,Jeanette Reeves
854,7,Debbie Brandt
855,10,Jack Braxton
856,3,Larry Levenhagen
857,8,Roy Johnson
858,7,Justin Mcguinness
859,2,Dante Kelly
860,6,Donald Kroetch
861,11,Sharon Flowers
862,6,Peggy Jackson
863,6,Ruth Adams
864,1,Ebony Dunkelberger
865,2,Angelo Valdez
866,1,Williams Styons
867,1,Juan Miller
868,9,Victor Reagan
869,9,Michael Marx
870,1,Craig Cozzi
871,3,Tami Fraizer
872,6,Valarie Rivera
873,9,Deanne Eis
874,1,Risa Hottinger
875,6,Jennifer Lacey
876,9,Edna Miller
877,9,David Farmer
878,2,Alicia Haney
879,10,Mary Meyers
880,2,Miriam Gartrell
881,5,Christopher Hatcher
882,2,Edward Ford
883,6,Angel Figueroa
884,4,Christine Ericsson
885,7,Andrew Baro
886,1,Janet Winnie
887,8,Freda Huckabaa
888,6,Sheri Alfaro
889,7,Wayne Powell
890,11,Philip Davis
891,2,Shaun Morris
892,7,Eric Gonzalez
893,2,Julie Hasler
894,8,Jessica Lehman
895,1,Patricia Cavazos
896,4,Raphael Burns
897,1,Mark Wells
898,5,Jackson Terry
899,12,Horace Schermann
900,10,Elwood Botner
901,4,Jane Morse
902,2,George Babineau
903,9,Francisco Vega
904,4,Winston Berenguer
905,6,Manuel Powers
906,10,Mary Mccord
907,3,Lisa Marshall
908,6,Phyllis Grant
909,11,Shelton Smith
910,11,Peggy Mcgirt
911,7,Jonathan Shirley
912,4,Wilson Torres
913,1,Mary Trosper
914,5,Travis Delgado
915,5,Brian Court
916,2,Norma Sloan
917,3,John Cooper
918,3,Maria Ashley
919,12,Mike Thomas
920,1,Ellie Wright
921,10,Mamie Baker
922,3,Rochelle Cruz
923,10,Gloria Welker
924,11,Abraham Brown
925,5,Robbie Stamp
926,8,Buena Graves
927,1,Larry Chang
928,2,Allyson Massiah
929,10,Corinne Bolling
930,4,Robert Voss
931,12,Angel Massman
932,1,Justine Slayman
933,8,Numbers Settle
934,4,Ruth Ellis
935,9,Hazel Atkins
936,3,Cameron Hinton
937,8,Donna Donaldson
938,1,Mildred Bedwell
939,10,Howard Crowder
940,6,Judy Evans
941,8,Jerry Young
942,5,Christopher Ungaro
943,6,Jared Montz
944,3,Jennifer Ramberg
945,10,Colleen Lamboy
946,1,Alice Mcghee
947,7,Paula Clark
948,8,Agnes Sandrock
949,6,Marion Garnett
950,7,Christopher Carey
951,10,Elizabeth Stanger
952,7,Bertha Parsons
953,8,Shawn Early
954,7,Gwendolyn Leingang
955,2,Jennifer Hull
956,4,Jasmin Easton
957,12,Tanesha Ellwanger
958,6,Sandra Flores
959,12,Thomas Daking
960,12,Jesse Lee
961,10,Dee Riley
962,6,Sandra Salazar
963,4,Benjamin Lewis
964,2,Christopher Rhea
965,11,Randy Mccray
966,4,Sarah Romine
967,11,Dino Taylor
968,1,Steven Foulk
969,5,Jenna Ng
970,3,Carl White
971,10,Anne Evangelista
972,6,Marta Simpson
973,1,Donna Laskowski
974,12,Hiram Morris
975,2,Charles James
976,10,Melanie Simpson
977,6,Helen Gibbs
978,11,David Walker
979,9,Mary Jeffers
980,6,James Hernandez
981,2,Robert Sam
982,12,Kathy Torrence
983,4,James Johnston
984,2,Walter Brennan
985,3,Jaclyn Adams
986,11,Tara Smith
987,4,Linda Wright
988,3,Dorothy Slocum
989,4,Jamie Werner
990,8,Kasandra Fuentes
991,5,Karen Delrosario
992,4,Elbert Lopez
993,1,Terry Boardman
994,4,Leonard Leonard
995,8,Hugh Mcbride
996,12,Domingo Fisher
997,2,Marcel Mirr
998,2,Casey Brown
999,7,Martha Mattingly
